club_id,club_slug,club_name,logo_url,country_name,season_id,competition_id,competition_slug,competition_name,club_division,source_url,_last_modified_at
800,atalanta-bergamo,Atalanta BC (800),https://tmssl.akamaized.net//images/wappen/head/800.png?lm=1438547428,Italy,2004,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2004,2025-09-13 09:04:09
826,rc-lens,RC Lens (826),https://tmssl.akamaized.net//images/wappen/head/826.png?lm=1595457059,France,2020,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/rc-lens/startseite/verein/826/saison_id/2020,2025-09-13 10:22:25
82,vfl-wolfsburg,VfL Wolfsburg (82),https://tmssl.akamaized.net//images/wappen/head/82.png?lm=1503060755,Germany,2017,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2017,2025-09-13 09:41:54
86,sv-werder-bremen,SV Werder Bremen (86),https://tmssl.akamaized.net//images/wappen/head/86.png?lm=1403082298,Germany,2011,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2011,2025-09-13 09:41:54
873,crystal-palace,Crystal Palace (873),https://tmssl.akamaized.net//images/wappen/head/873.png?lm=1457723287,England,2009,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2009,2025-09-13 10:14:59
89,1-fc-union-berlin,1.FC Union Berlin (89),https://tmssl.akamaized.net//images/wappen/head/89.png?lm=1402956210,Germany,2006,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2006,2025-09-13 09:59:26
931,fc-fulham,Fulham FC (931),https://tmssl.akamaized.net//images/wappen/head/931.png?lm=1556831687,England,2002,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2002,2025-09-13 09:22:47
940,celta-vigo,Celta de Vigo (940),https://tmssl.akamaized.net//images/wappen/head/940.png?lm=1406966406,Spain,2024,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2024,2025-09-13 09:14:08
985,manchester-united,Manchester United (985),https://tmssl.akamaized.net//images/wappen/head/985.png?lm=1457975903,England,2006,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2006,2025-09-13 09:22:47
989,afc-bournemouth,AFC Bournemouth (989),https://tmssl.akamaized.net//images/wappen/head/989.png?lm=1457991811,England,2012,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2012,2025-09-13 10:17:07
995,fc-nantes,FC Nantes (995),https://tmssl.akamaized.net//images/wappen/head/995.png?lm=1581355747,France,2004,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2004,2025-09-13 10:14:57
